,Broad business,Recession alerts,Industrial Production,Manufacturing,Services,Small Business sentix,Consumption,Consumers sentiment,Labour general,Labour HH survey,Labour estabilishment survey,Housing activity,Retail sales,corporate sales & margins,"Income, savings",Interest rates,Rates sentiment,CPI,CPI sentiment,PPI finished goods,BS_housing wealth,BS_housing refinancing,BS_current asset / liabilities,Savings rate ,Fed liquidity
28/02/2002,67.13636364,66.875,53.125,69.72222222,51.5,53.48958333,28.33333333,65.81818182,36.75862069,21.46428571,32,58.33333333,48.37962963,35.45454545,39.86111111,41.80769231,52.83564815,39.13966049,38,11.11111111,60.36458333,72.70833333,61.14583333,22.86458333,66.66666667
31/03/2002,75.56818182,65.625,54.625,65.5982906,57.28021978,49.9,49.67948718,79.1520979,38.94230769,24.31318681,35.11705686,60.0625,49.11111111,22.43589744,48.4,50.16642012,46.88888889,37.7037037,53.93772894,14.77777778,56.1,68.6,63.2,25.25,79.71428571
30/04/2002,70.95959596,67.93981481,66.14583333,63.01440329,57.14285714,67.59615385,46.2962963,74.24242424,40.61302682,29.23280423,36.57407407,55.31850962,39.52991453,23.73737374,52.17948718,48.80698006,62.01923077,40.0997151,56.79012346,24.46581197,66.92307692,78.73626374,40.96153846,36.05769231,73.9010989
31/05/2002,75.68993506,65.84821429,65.00771605,57.29166667,66.19897959,66.57407407,31.25,78.93668831,47.62931034,31.34566327,41.09083851,46.41203704,69.5473251,36.63419913,46.04938272,47.06387363,66.97530864,45.09602195,61.9047619,31.06995885,56.2037037,74.31216931,37.59259259,39.07407407,69.04761905
30/06/2002,63.32288401,63.25431034,74.88839286,50.81417625,62.31527094,60.40178571,41.95402299,54.54545455,49.33115339,31.95812808,44.45277361,50.83705357,42.85714286,36.52037618,41.54761905,38.6770557,62.64880952,39.83134921,59.85221675,25.89285714,70.46875,71.58163265,68.03571429,39.24107143,77.80612245
31/07/2002,53.125,58.125,81.4295977,39.90740741,42.61904762,56.1637931,49.16666667,33.75,41.55555556,35.35714286,41.44927536,52.8825431,40.42145594,38.03030303,44.48275862,40.46474359,53.44827586,36.20689655,56.66666667,29.11877395,62.59698276,62.53694581,68.75,34.26724138,71.92118227
31/08/2002,48.58870968,52.11693548,75.83333333,29.43548387,52.64976959,50.375,51.34408602,34.97067449,47.52688172,38.91129032,41.44460028,47.78645833,34.07407407,36.99902248,56.33333333,40.19851117,65.32407407,33.59567901,48.84792627,29.90740741,72.28125,57.19047619,59.875,23.91666667,66.9047619
30/09/2002,49.18619792,46.09375,69.48924731,35.80729167,63.05803571,48.5483871,44.01041667,39.80823864,48.34635417,42.82924107,38.85869565,40.49899194,22.40143369,42.28219697,59.67741935,37.81550481,57.57168459,39.979092,35.56547619,31.1827957,60.49395161,57.11981567,77.13709677,21.77419355,68.66359447
31/10/2002,39.48863636,52.36742424,59.21223958,49.91582492,67.91125541,51.5625,29.54545455,27.61707989,51.22474747,44.26406926,45.8168643,66.43066406,15.79861111,43.48025712,55.3125,43.10897436,34.98263889,40.94328704,57.86435786,32.98611111,59.609375,56.65178571,77.1484375,22.65625,62.94642857
30/11/2002,42.67769608,61.76470588,53.31439394,41.62581699,68.43487395,57.04545455,40.44117647,35.76203209,43.50490196,41.2289916,45.02877238,52.65151515,42.76094276,37.87878788,40.1010101,41.7138009,44.86531987,38.10325477,48.52941176,52.27272727,57.86931818,63.16017316,66.09848485,25.53030303,65.58441558
31/12/2002,44.64285714,57.23214286,64.88970588,53.05555556,61.17346939,60.25735294,63.0952381,35.32467532,38.97619048,42.27040816,42.04968944,60.06433824,42.32026144,39.6969697,45.78431373,36.68956044,40.31862745,40.48202614,50.06802721,50.16339869,53.06985294,61.61764706,70.47794118,20.91911765,65.75630252
31/01/2003,50.08680556,56.33680556,51.78571429,56.21141975,60.56547619,39.67857143,53.24074074,33.39646465,44.93055556,50.44642857,45.13888889,57.56696429,44.12698413,42.17171717,55.33333333,38.83547009,59.44444444,44.98677249,50.46296296,33.33333333,69.51785714,53.44897959,56.48809524,21.07142857,87.55102041
28/02/2003,40.31531532,48.64864865,64.40972222,52.55255255,51.93050193,44.86111111,45.4954955,18.27395577,41.65540541,47.8523166,40.70211516,59.85243056,50.77160494,50.98280098,54.90740741,36.36954262,50.38580247,44.49588477,71.87902188,52.4691358,49.35763889,57.04365079,60.41666667,30.9375,74.20634921
31/03/2003,24.89035088,54.93421053,64.55518018,40.67982456,28.0075188,33.37837838,55.92105263,15.75956938,41.0745614,45.11278195,38.15789474,38.61908784,24.92492492,49.56140351,48.37837838,40.59969636,58.93393393,43.66866867,65.35087719,73.12312312,50.5152027,55.55984556,46.22747748,32.63513514,77.22007722
30/04/2003,43.99038462,51.24198718,63.84320175,40.5982906,30.81501832,31.11842105,46.79487179,52.27272727,42.76709402,45.05494505,37.52787068,41.48848684,48.68421053,49.06759907,56.22807018,37.5,58.99122807,43.72563353,36.63003663,85.23391813,59.49013158,61.05263158,60.14254386,29.375,76.5037594
31/05/2003,47.70833333,40.078125,46.875,51.80555556,34.91071429,45.44871795,53.54166667,68.15340909,39.08333333,48.28125,40.0951087,44.45112179,40.17094017,53.29545455,52.22222222,32.65625,40.70512821,36.41975309,33.63095238,48.00569801,58.00480769,59.94505495,61.32478632,26.89102564,80.58608059
30/06/2003,55.51321138,48.24695122,36.35416667,57.58807588,66.11498258,44.40625,52.23577236,63.35920177,40.75203252,49.86933798,40.88016967,58.28125,36.11111111,54.50849963,56.41666667,33.68902439,55.24305556,32.08333333,36.29500581,38.61111111,69.7890625,51.42857143,56.19791667,27.03125,73.21428571
31/07/2003,64.6577381,60.19345238,41.2601626,57.01058201,69.64285714,61.76829268,60.71428571,59.11796537,40.09920635,46.17346939,41.92546584,70.35060976,73.03523035,52.34487734,54.55284553,49.7481685,46.20596206,33.36720867,41.09977324,45.39295393,63.49085366,53.43205575,54.67479675,25.24390244,68.98954704
